Specie (common name;Specie (latin name);Functional group;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Kitefin shark;Dalatias licha;Small  to medium sharks;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014
Bluntnose sixgill shark;Hexanchus griseus;Small demersals;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.02-0.038;0.02-0.038;0.02-0.038;0.02-0.038;0.02-0.038;0.02-0.038;0.02-0.038;0.02-0.038;0.02-0.038;0.02-0.038;0.02-0.038;0.02-0.038;0.02-0.038;0.02-0.038;0.02-0.038;0.02-0.038;0.02-0.038;0.0075-0.02;0.02-0.038;0.02-0.038;0.02-0.038
Longnose velvet dogfish;Centroscymnus crepidater;Small demersals;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.0075-0.02;0.02-0.038;0.02-0.038;0.02-0.038;0.02-0.038;0.02-0.038;0.02-0.038;0.02-0.038;0.02-0.038;0.02-0.038;0.02-0.038;0.02-0.038;0.02-0.038;0.02-0.038;0.02-0.038;0.02-0.038;0.02-0.038;0.02-0.038;0.0075-0.02;0.02-0.038;0.02-0.038;0.02-0.038
Escolar;Lepidocybium flavobrunneum;Small pelagics;0.31-0.52;0.31-0.52;0.31-0.52;0.31-0.52;0.31-0.52;0.31-0.52;0.31-0.52;0.52-0.88;0.52-0.88;0.52-0.88;0.52-0.88;0.52-0.88;0.52-0.88;0.52-0.88;0.52-0.88;0.52-0.88;0.88-1.5;0.88-1.5;0.52-0.88;0.52-0.88;0.52-0.88;0.52-0.88;0.52-0.88;0.88-1.5;0.52-0.88;0.52-0.88;0.52-0.88;0.31-0.52;0.52-0.88;0.52-0.88;0.52-0.88;0.88-1.5;0.52-0.88;0.88-1.5;0.52-0.88;0.88-1.5;0.88-1.5;0.88-1.5;0.88-1.5;0.88-1.5;1.5-7.2;1.5-7.2;0.88-1.5;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2
European lobster;Homarus gammarus;Small pelagics;0.31-0.52;0.31-0.52;0.31-0.52;0.31-0.52;0.31-0.52;0.31-0.52;0.31-0.52;0.52-0.88;0.52-0.88;0.52-0.88;0.52-0.88;0.52-0.88;0.52-0.88;0.52-0.88;0.52-0.88;0.52-0.88;0.88-1.5;0.88-1.5;0.52-0.88;0.52-0.88;0.52-0.88;0.52-0.88;0.52-0.88;0.88-1.5;0.52-0.88;0.52-0.88;0.52-0.88;0.31-0.52;0.52-0.88;0.52-0.88;0.52-0.88;0.88-1.5;0.52-0.88;0.88-1.5;0.52-0.88;0.88-1.5;0.88-1.5;0.88-1.5;0.88-1.5;0.88-1.5;1.5-7.2;1.5-7.2;0.88-1.5;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2
Roudi escolar;Promethichthys prometheus ;Small pelagics;0.31-0.52;0.31-0.52;0.31-0.52;0.31-0.52;0.31-0.52;0.31-0.52;0.31-0.52;0.52-0.88;0.52-0.88;0.52-0.88;0.52-0.88;0.52-0.88;0.52-0.88;0.52-0.88;0.52-0.88;0.52-0.88;0.88-1.5;0.88-1.5;0.52-0.88;0.52-0.88;0.52-0.88;0.52-0.88;0.52-0.88;0.88-1.5;0.52-0.88;0.52-0.88;0.52-0.88;0.31-0.52;0.52-0.88;0.52-0.88;0.52-0.88;0.88-1.5;0.52-0.88;0.88-1.5;0.52-0.88;0.88-1.5;0.88-1.5;0.88-1.5;0.88-1.5;0.88-1.5;1.5-7.2;1.5-7.2;0.88-1.5;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2;1.5-7.2
Common pandora;Pagellus erythrinus;Small to medium flatfishes;0.0022-0.004;0.0022-0.004;0.0022-0.004;0.004-0.0056;0.004-0.0056;0.0022-0.004;0.0022-0.004;0.0022-0.004;0.0022-0.004;0.0022-0.004;0.0022-0.004;0.0022-0.004;0.0022-0.004;0.004-0.0056;0.0056-0.0082;0.0056-0.0082;0.0056-0.0082;0.0056-0.0082;0.0056-0.0082;0.0082-0.014;0.004-0.0056;0.004-0.0056;0.004-0.0056;0.0056-0.0082;0.0056-0.0082;0.0056-0.0082;0.004-0.0056;0.0082-0.014;0.004-0.0056;0.0082-0.014;0.0082-0.014;0.0082-0.014;0.0082-0.014;0.0082-0.014;0.0082-0.014;0.014-0.027;0.014-0.027;0.014-0.027;0.014-0.027;0.014-0.027;0.014-0.027;0.0027-0.13;0.0027-0.13;0.014-0.027;0.014-0.027;0.014-0.027;0.014-0.027;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.014-0.027;0.014-0.027;0.014-0.027;0.027-0.13
Mediterranean spearfish;Tetrapturus belone;Small to medium flatfishes;0.0022-0.004;0.0022-0.004;0.0022-0.004;0.004-0.0056;0.004-0.0056;0.0022-0.004;0.0022-0.004;0.0022-0.004;0.0022-0.004;0.0022-0.004;0.0022-0.004;0.0022-0.004;0.0022-0.004;0.004-0.0056;0.0056-0.0082;0.0056-0.0082;0.0056-0.0082;0.0056-0.0082;0.0056-0.0082;0.0082-0.014;0.004-0.0056;0.004-0.0056;0.004-0.0056;0.0056-0.0082;0.0056-0.0082;0.0056-0.0082;0.004-0.0056;0.0082-0.014;0.004-0.0056;0.0082-0.014;0.0082-0.014;0.0082-0.014;0.0082-0.014;0.0082-0.014;0.0082-0.014;0.014-0.027;0.014-0.027;0.014-0.027;0.014-0.027;0.014-0.027;0.014-0.027;0.0027-0.13;0.0027-0.13;0.014-0.027;0.014-0.027;0.014-0.027;0.014-0.027;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.014-0.027;0.014-0.027;0.014-0.027;0.027-0.13
Wahoo;Acanthocybium solandri;Small to medium flatfishes;0.0022-0.004;0.0022-0.004;0.0022-0.004;0.004-0.0056;0.004-0.0056;0.0022-0.004;0.0022-0.004;0.0022-0.004;0.0022-0.004;0.0022-0.004;0.0022-0.004;0.0022-0.004;0.0022-0.004;0.004-0.0056;0.0056-0.0082;0.0056-0.0082;0.0056-0.0082;0.0056-0.0082;0.0056-0.0082;0.0082-0.014;0.004-0.0056;0.004-0.0056;0.004-0.0056;0.0056-0.0082;0.0056-0.0082;0.0056-0.0082;0.004-0.0056;0.0082-0.014;0.004-0.0056;0.0082-0.014;0.0082-0.014;0.0082-0.014;0.0082-0.014;0.0082-0.014;0.0082-0.014;0.014-0.027;0.014-0.027;0.014-0.027;0.014-0.027;0.014-0.027;0.014-0.027;0.0027-0.13;0.0027-0.13;0.014-0.027;0.014-0.027;0.014-0.027;0.014-0.027;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.027-0.13;0.014-0.027;0.014-0.027;0.014-0.027;0.027-0.13
Brown meagre;Sciaena umbra;Small to medium rays;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032
Tuberculate cockle;Acanthocardia tuberculata;Small to medium rays;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032;0.018-0.032
Blackbelly rosefish ;Helicolenus dactylopterus;Small to medium sharks;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014
Skipjack tuna;Katsuwonus pelamis;Small to medium sharks;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.0073-0.014;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022;0.014-0.022
Atlantic chub mackerel;Scomber colias;Small pelagics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
European anchovy;Engraulis encrasicolus;Small pelagics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
European pilchard;Sardina pilchardus;Small pelagics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
